"","word","freq","prob"
"right now","right now",517,0.0036101083032491
"dont know","dont know",411,0.00286993135906263
"last year","last year",396,0.00276518933865888
"new york","new york",391,0.00273027533185763
"cant wait","cant wait",376,0.00262553331145389
"last night","last night",313,0.00218561682575816
"years ago","years ago",300,0.00209484040807491
"high school","high school",288,0.00201104679175192
"im going","im going",272,0.00189932196998792
"feel like","feel like",258,0.00180156275094442
"last week","last week",256,0.00178759714822392
"dont want","dont want",238,0.00166190672373943
"looking forward","looking forward",230,0.00160604431285743
"can get","can get",222,0.00155018190197543
"im sure","im sure",219,0.00152923349789469
"looks like","looks like",212,0.00148035388837294
"first time","first time",203,0.00141750867613069
"make sure","make sure",203,0.00141750867613069
"st louis","st louis",203,0.00141750867613069
"dont think","dont think",194,0.00135466346388844
"even though","even though",193,0.00134768066252819
"happy birthday","happy birthday",182,0.00127086984756545
"just got","just got",178,0.00124293864212445
"good morning","good morning",173,0.0012080246353232
"new jersey","new jersey",167,0.0011661278271617
"one day","one day",167,0.0011661278271617
"next week","next week",166,0.00115914502580145
"let know","let know",162,0.00113121382036045
"united states","united states",158,0.00110328261491945
"good luck","good luck",154,0.00107535140947845
"every day","every day",149,0.00104043740267721
"thanks follow","thanks follow",148,0.00103345460131696
"look like","look like",141,0.000984574991795208
"los angeles","los angeles",137,0.00095664378635421
"just like","just like",136,0.00094966098499396
"next year","next year",136,0.00094966098499396
"mothers day","mothers day",132,0.000921729779552961
"long time","long time",130,0.000907764176832462
"follow back","follow back",125,0.000872850170031213
"many people","many people",125,0.000872850170031213
"san francisco","san francisco",121,0.000844918964590214
"two years","two years",121,0.000844918964590214
"can see","can see",120,0.000837936163229965
"social media","social media",120,0.000837936163229965
"can make","can make",119,0.000830953361869715
"didnt know","didnt know",117,0.000816987759149216
"get back","get back",117,0.000816987759149216
"every time","every time",116,0.000810004957788966
"im just","im just",116,0.000810004957788966
"little bit","little bit",116,0.000810004957788966
"come back","come back",115,0.000803022156428716
"one thing","one thing",115,0.000803022156428716
"dont like","dont like",113,0.000789056553708217
"just one","just one",108,0.000754142546906968
"sounds like","sounds like",108,0.000754142546906968
"health care","health care",107,0.000747159745546718
"go back","go back",102,0.00071224573874547
"will never","will never",102,0.00071224573874547
"im gonna","im gonna",101,0.00070526293738522
"next time","next time",101,0.00070526293738522
"dont get","dont get",100,0.00069828013602497
"will get","will get",100,0.00069828013602497
"can help","can help",98,0.000684314533304471
"thanks rt","thanks rt",98,0.000684314533304471
"three years","three years",98,0.000684314533304471
"let us","let us",97,0.000677331731944221
"san diego","san diego",97,0.000677331731944221
"new year","new year",96,0.000670348930583972
"dont care","dont care",95,0.000663366129223722
"pretty much","pretty much",94,0.000656383327863472
"join us","join us",93,0.000649400526503223
