"","word","freq","prob"
"will","will",6209,0.00901259208186668
"just","just",6111,0.00887034147403564
"said","said",6085,0.00883260151685597
"one","one",6013,0.00872809086620459
"like","like",5454,0.00791668178684182
"can","can",5026,0.00729542403019197
"get","get",4459,0.00647240265631237
"time","time",4337,0.00629531516493087
"new","new",3944,0.0057248611967921
"now","now",3577,0.005192147185833
"good","good",3544,0.00514424647095112
"dont","dont",3500,0.00508037885110861
"day","day",3493,0.00507021809340639
"know","know",3300,0.00479007148818812
"love","love",3281,0.00476249228871067
"people","people",3191,0.00463185397539645
"back","back",2804,0.0040701092281453
"see","see",2764,0.0040120477555612
"first","first",2676,0.00388431251587618
"make","make",2596,0.00376818957070799
"also","also",2587,0.00375512573937656
"last","last",2546,0.00369561272997786
"well","well",2533,0.00367674275138803
"think","think",2466,0.00357948978480967
"great","great",2430,0.00352723445948398
"going","going",2417,0.00350836448089415
"year","year",2389,0.00346772145008528
"much","much",2386,0.00346336683964147
"way","way",2263,0.00328482781144537
"really","really",2256,0.00327466705374315
"two","two",2252,0.00326886090648474
"want","want",2170,0.00314983488768734
"even","even",2148,0.00311790107776608
"today","today",2131,0.00309322495191784
"got","got",2108,0.00305983960518199
"right","right",2077,0.00301484196392931
"still","still",2073,0.0030090358166709
"work","work",2067,0.00300032659578329
"years","years",2062,0.00299306891171027
"need","need",1976,0.00286823674565446
"thanks","thanks",1919,0.00278549914722212
"thats","thats",1802,0.00261566933991363
"take","take",1741,0.00252712559422288
"cant","cant",1740,0.00252567405740828
"life","life",1739,0.00252422252059368
"many","many",1739,0.00252422252059368
"made","made",1731,0.00251261022607686
"say","say",1726,0.00250535254200385
"little","little",1648,0.00239213267046485
"come","come",1642,0.00238342344957724
"never","never",1619,0.00235003810284138
"home","home",1611,0.00233842580832456
"best","best",1576,0.00228762201981348
"may","may",1571,0.00228036433574047
"next","next",1535,0.00222810901041478
"week","week",1473,0.00213811372790942
"night","night",1469,0.00213230758065101
"school","school",1446,0.00209892223391516
"game","game",1437,0.00208585840258374
"things","things",1432,0.00207860071851072
"something","something",1428,0.00207279457125231
"lol","lol",1421,0.0020626338135501
"didnt","didnt",1380,0.0020031208041514
