"","word","freq","prob"
"at the end of the","at the end of the",73,0.00304890782274569
"in the middle of the","in the middle of the",40,0.00167063442342229
"the end of the day","the end of the day",31,0.00129474167815228
"for the first time in","for the first time in",30,0.00125297581756672
"i cant wait to see","i cant wait to see",24,0.00100238065405338
"by the end of the","by the end of the",23,0.000960614793467819
"thank you so much for","thank you so much for",23,0.000960614793467819
"cant wait to see you","cant wait to see you",20,0.000835317211711147
"is one of the most","is one of the most",20,0.000835317211711147
"for the rest of the","for the rest of the",18,0.000751785490540033
"its going to be a","its going to be a",18,0.000751785490540033
"to be a part of","to be a part of",18,0.000751785490540033
"at the top of the","at the top of the",17,0.000710019629954475
"i would love to see","i would love to see",17,0.000710019629954475
"happy mothers day to all","happy mothers day to all",16,0.000668253769368918
"i love you so much","i love you so much",16,0.000668253769368918
"if you would like to","if you would like to",16,0.000668253769368918
"in the bottom of the","in the bottom of the",16,0.000668253769368918
"this is going to be","this is going to be",16,0.000668253769368918
"to figure out how to","to figure out how to",16,0.000668253769368918
"is going to be a","is going to be a",15,0.000626487908783361
"keep up the good work","keep up the good work",15,0.000626487908783361
"i dont want to be","i dont want to be",14,0.000584722048197803
"the other side of the","the other side of the",14,0.000584722048197803
"for the first time since","for the first time since",13,0.000542956187612246
"on the other side of","on the other side of",13,0.000542956187612246
"a couple of years ago","a couple of years ago",12,0.000501190327026688
"at the same time i","at the same time i",12,0.000501190327026688
"but at the same time","but at the same time",12,0.000501190327026688
"cant wait to see what","cant wait to see what",12,0.000501190327026688
"i am looking forward to","i am looking forward to",12,0.000501190327026688
"is one of the best","is one of the best",12,0.000501190327026688
"the th anniversary of the","the th anniversary of the",12,0.000501190327026688
"there are a lot of","there are a lot of",12,0.000501190327026688
"a couple of weeks ago","a couple of weeks ago",11,0.000459424466441131
"at the beginning of the","at the beginning of the",11,0.000459424466441131
"hope you had a great","hope you had a great",11,0.000459424466441131
"thanks so much for the","thanks so much for the",11,0.000459424466441131
"this is one of the","this is one of the",11,0.000459424466441131
"to be one of the","to be one of the",11,0.000459424466441131
"at the bottom of the","at the bottom of the",10,0.000417658605855574
"at the start of the","at the start of the",10,0.000417658605855574
"cake cake cake cake cake","cake cake cake cake cake",10,0.000417658605855574
"if you are going to","if you are going to",10,0.000417658605855574
"in the s and s","in the s and s",10,0.000417658605855574
"mothers day to all the","mothers day to all the",10,0.000417658605855574
"on my way to the","on my way to the",10,0.000417658605855574
"on the side of the","on the side of the",10,0.000417658605855574
"thanks for the shout out","thanks for the shout out",10,0.000417658605855574
"the end of the month","the end of the month",10,0.000417658605855574
"the end of the year","the end of the year",10,0.000417658605855574
"all the way to the","all the way to the",9,0.000375892745270016
"but when it comes to","but when it comes to",9,0.000375892745270016
"cant wait to see the","cant wait to see the",9,0.000375892745270016
"dont know about you but","dont know about you but",9,0.000375892745270016
"had nothing to do with","had nothing to do with",9,0.000375892745270016
"has nothing to do with","has nothing to do with",9,0.000375892745270016
"have to check it out","have to check it out",9,0.000375892745270016
"hope to see you there","hope to see you there",9,0.000375892745270016
"hope you have a great","hope you have a great",9,0.000375892745270016
"i dont know about you","i dont know about you",9,0.000375892745270016
"i have a lot of","i have a lot of",9,0.000375892745270016
"in the history of the","in the history of the",9,0.000375892745270016
"is one of my favorite","is one of my favorite",9,0.000375892745270016
"it is going to be","it is going to be",9,0.000375892745270016
"it was one of the","it was one of the",9,0.000375892745270016
"let me know what you","let me know what you",9,0.000375892745270016
"let me know when you","let me know when you",9,0.000375892745270016
"let us know if you","let us know if you",9,0.000375892745270016
"on the way to the","on the way to the",9,0.000375892745270016
"only a matter of time","only a matter of time",9,0.000375892745270016
"thank you for the follow","thank you for the follow",9,0.000375892745270016
"thanks for the follow i","thanks for the follow i",9,0.000375892745270016
"that awkward moment when you","that awkward moment when you",9,0.000375892745270016
"the end of the season","the end of the season",9,0.000375892745270016
"the middle of the night","the middle of the night",9,0.000375892745270016
"the rest of the day","the rest of the day",9,0.000375892745270016
"the rest of the year","the rest of the year",9,0.000375892745270016
"to be part of the","to be part of the",9,0.000375892745270016
"to come up with a","to come up with a",9,0.000375892745270016
"to the top of the","to the top of the",9,0.000375892745270016
"we have a lot of","we have a lot of",9,0.000375892745270016
"what are you going to","what are you going to",9,0.000375892745270016
"wish i could be there","wish i could be there",9,0.000375892745270016
"a year and a half","a year and a half",8,0.000334126884684459
"all you have to do","all you have to do",8,0.000334126884684459
"at the end of this","at the end of this",8,0.000334126884684459
"cant wait to see it","cant wait to see it",8,0.000334126884684459
"dont know what to do","dont know what to do",8,0.000334126884684459
"going to be a great","going to be a great",8,0.000334126884684459
"happy mothers day to the","happy mothers day to the",8,0.000334126884684459
"he was one of the","he was one of the",8,0.000334126884684459
"i cant wait to get","i cant wait to get",8,0.000334126884684459
"i have no idea what","i have no idea what",8,0.000334126884684459
"i knew i had to","i knew i had to",8,0.000334126884684459
"i need to go to","i need to go to",8,0.000334126884684459
"i thought it would be","i thought it would be",8,0.000334126884684459
"i want to go to","i want to go to",8,0.000334126884684459
"if you dont want to","if you dont want to",8,0.000334126884684459
"if you want to see","if you want to see",8,0.000334126884684459
"in the middle of a","in the middle of a",8,0.000334126884684459
"it is what it is","it is what it is",8,0.000334126884684459
"on both sides of the","on both sides of the",8,0.000334126884684459
"over the course of the","over the course of the",8,0.000334126884684459
"spent a lot of time","spent a lot of time",8,0.000334126884684459
"that i was going to","that i was going to",8,0.000334126884684459
"the right thing to do","the right thing to do",8,0.000334126884684459
"the side of the road","the side of the road",8,0.000334126884684459
"there is a lot of","there is a lot of",8,0.000334126884684459
"to make up for the","to make up for the",8,0.000334126884684459
"trying to figure out how","trying to figure out how",8,0.000334126884684459
"we had a great time","we had a great time",8,0.000334126884684459
"you need to do is","you need to do is",8,0.000334126884684459
"a matter of time before","a matter of time before",7,0.000292361024098902
"and i dont want to","and i dont want to",7,0.000292361024098902
"and i was able to","and i was able to",7,0.000292361024098902
"and the rest of the","and the rest of the",7,0.000292361024098902
"at the time of the","at the time of the",7,0.000292361024098902
"at this time of year","at this time of year",7,0.000292361024098902
"by the time i got","by the time i got",7,0.000292361024098902
"for a chance to win","for a chance to win",7,0.000292361024098902
"for a couple of weeks","for a couple of weeks",7,0.000292361024098902
"g protein g carbohydrate g","g protein g carbohydrate g",7,0.000292361024098902
"had a great time at","had a great time at",7,0.000292361024098902
"have to go to the","have to go to the",7,0.000292361024098902
"hope to see you in","hope to see you in",7,0.000292361024098902
"i dont want to get","i dont want to get",7,0.000292361024098902
"i fell in love with","i fell in love with",7,0.000292361024098902
"i had no idea how","i had no idea how",7,0.000292361024098902
"i have to go to","i have to go to",7,0.000292361024098902
"i have to say i","i have to say i",7,0.000292361024098902
"if you have any questions","if you have any questions",7,0.000292361024098902
"im so proud of you","im so proud of you",7,0.000292361024098902
"in and out of the","in and out of the",7,0.000292361024098902
"in the back of the","in the back of the",7,0.000292361024098902
"in the next couple of","in the next couple of",7,0.000292361024098902
"in the wake of the","in the wake of the",7,0.000292361024098902
"incorporated in item c above","incorporated in item c above",7,0.000292361024098902
"is it just me or","is it just me or",7,0.000292361024098902
"is stuck in my head","is stuck in my head",7,0.000292361024098902
"its only a matter of","its only a matter of",7,0.000292361024098902
"let me know if you","let me know if you",7,0.000292361024098902
"me know what you think","me know what you think",7,0.000292361024098902
"most of the time i","most of the time i",7,0.000292361024098902
"nothing to do with the","nothing to do with the",7,0.000292361024098902
"one of the most important","one of the most important",7,0.000292361024098902
"over the past few years","over the past few years",7,0.000292361024098902
"president of the united states","president of the united states",7,0.000292361024098902
"so to my new follower","so to my new follower",7,0.000292361024098902
"the dow jones industrial average","the dow jones industrial average",7,0.000292361024098902
"the end of the world","the end of the world",7,0.000292361024098902
"the second half of the","the second half of the",7,0.000292361024098902
"the start of the season","the start of the season",7,0.000292361024098902
"there are a couple of","there are a couple of",7,0.000292361024098902
"this is the first time","this is the first time",7,0.000292361024098902
"to everyone who came out","to everyone who came out",7,0.000292361024098902
"to find a way to","to find a way to",7,0.000292361024098902
"to go back to the","to go back to the",7,0.000292361024098902
"turned out to be the","turned out to be the",7,0.000292361024098902
"was one of the first","was one of the first",7,0.000292361024098902
"what do you think of","what do you think of",7,0.000292361024098902
"when i was a kid","when i was a kid",7,0.000292361024098902
"when i was growing up","when i was growing up",7,0.000292361024098902
"would love to see you","would love to see you",7,0.000292361024098902
"you dont have to be","you dont have to be",7,0.000292361024098902
"you have to do is","you have to do is",7,0.000292361024098902
"you want to be a","you want to be a",7,0.000292361024098902
"a chance to win a","a chance to win a",6,0.000250595163513344
"a means for sites to","a means for sites to",6,0.000250595163513344
"a participant in the amazon","a participant in the amazon",6,0.000250595163513344
"advertising and linking to amazoncom","advertising and linking to amazoncom",6,0.000250595163513344
"advertising fees by advertising and","advertising fees by advertising and",6,0.000250595163513344
"all i want to do","all i want to do",6,0.000250595163513344
"amazon eu associates programmes designed","amazon eu associates programmes designed",6,0.000250595163513344
"amazon eu this content is","amazon eu this content is",6,0.000250595163513344
"amazon services llc and amazon","amazon services llc and amazon",6,0.000250595163513344
"amazon services llc andor amazon","amazon services llc andor amazon",6,0.000250595163513344
"amazonca amazoncouk amazonde amazonfr amazonit","amazonca amazoncouk amazonde amazonfr amazonit",6,0.000250595163513344
"amazoncom amazonca amazoncouk amazonde amazonfr","amazoncom amazonca amazoncouk amazonde amazonfr",6,0.000250595163513344
"amazoncouk amazonde amazonfr amazonit and","amazoncouk amazonde amazonfr amazonit and",6,0.000250595163513344
"amazonde amazonfr amazonit and amazones","amazonde amazonfr amazonit and amazones",6,0.000250595163513344
"amazones certain content that appears","amazones certain content that appears",6,0.000250595163513344
"amazonfr amazonit and amazones certain","amazonfr amazonit and amazones certain",6,0.000250595163513344
"amazonit and amazones certain content","amazonit and amazones certain content",6,0.000250595163513344
"and amazon eu associates programmes","and amazon eu associates programmes",6,0.000250595163513344
"and amazones certain content that","and amazones certain content that",6,0.000250595163513344
"and at the same time","and at the same time",6,0.000250595163513344
"and is subject to change","and is subject to change",6,0.000250595163513344
"and linking to amazoncom amazonca","and linking to amazoncom amazonca",6,0.000250595163513344
"andor amazon eu this content","andor amazon eu this content",6,0.000250595163513344
"appears on this website comes","appears on this website comes",6,0.000250595163513344
"as a result of the","as a result of the",6,0.000250595163513344
"as is and is subject","as is and is subject",6,0.000250595163513344
"associates programmes designed to provide","associates programmes designed to provide",6,0.000250595163513344
"at one time or another","at one time or another",6,0.000250595163513344
"at the same time the","at the same time the",6,0.000250595163513344
"but at the end of","but at the end of",6,0.000250595163513344
"by advertising and linking to","by advertising and linking to",6,0.000250595163513344
"calories g protein g carbohydrate","calories g protein g carbohydrate",6,0.000250595163513344
"carbohydrate g fat g saturated","carbohydrate g fat g saturated",6,0.000250595163513344
"certain content that appears on","certain content that appears on",6,0.000250595163513344
"change or removal at any","change or removal at any",6,0.000250595163513344
"comes from amazon services llc","comes from amazon services llc",6,0.000250595163513344
"content is provided as is","content is provided as is",6,0.000250595163513344
"content that appears on this","content that appears on this",6,0.000250595163513344
"designed to provide a means","designed to provide a means",6,0.000250595163513344
"earn advertising fees by advertising","earn advertising fees by advertising",6,0.000250595163513344
"eu associates programmes designed to","eu associates programmes designed to",6,0.000250595163513344
"eu this content is provided","eu this content is provided",6,0.000250595163513344
"every once in a while","every once in a while",6,0.000250595163513344
"fat g saturated mg cholesterol","fat g saturated mg cholesterol",6,0.000250595163513344
"fees by advertising and linking","fees by advertising and linking",6,0.000250595163513344
"fell in love with the","fell in love with the",6,0.000250595163513344
"first thing i did was","first thing i did was",6,0.000250595163513344
"for a variety of reasons","for a variety of reasons",6,0.000250595163513344
"for more than a year","for more than a year",6,0.000250595163513344
"for sites to earn advertising","for sites to earn advertising",6,0.000250595163513344
"for those of you who","for those of you who",6,0.000250595163513344
"from amazon services llc andor","from amazon services llc andor",6,0.000250595163513344
"g carbohydrate g fat g","g carbohydrate g fat g",6,0.000250595163513344
"g fat g saturated mg","g fat g saturated mg",6,0.000250595163513344
"g saturated mg cholesterol mg","g saturated mg cholesterol mg",6,0.000250595163513344
"going to be able to","going to be able to",6,0.000250595163513344
"has been a lot of","has been a lot of",6,0.000250595163513344
"have nothing to do with","have nothing to do with",6,0.000250595163513344
"i did not want to","i did not want to",6,0.000250595163513344
"i dont know how to","i dont know how to",6,0.000250595163513344
"i dont know if i","i dont know if i",6,0.000250595163513344
"i dont know what i","i dont know what i",6,0.000250595163513344
"i have no idea how","i have no idea how",6,0.000250595163513344
"i have to say that","i have to say that",6,0.000250595163513344
"i may or may not","i may or may not",6,0.000250595163513344
"i might be able to","i might be able to",6,0.000250595163513344
"i think a lot of","i think a lot of",6,0.000250595163513344
"i think i need to","i think i need to",6,0.000250595163513344
"i want to be a","i want to be a",6,0.000250595163513344
"i want to do is","i want to do is",6,0.000250595163513344
"i was in th grade","i was in th grade",6,0.000250595163513344
"i will be able to","i will be able to",6,0.000250595163513344
"i wish i had a","i wish i had a",6,0.000250595163513344
"if you dont have a","if you dont have a",6,0.000250595163513344
"if you want to be","if you want to be",6,0.000250595163513344
"in item c above pp","in item c above pp",6,0.000250595163513344
"in the amazon services llc","in the amazon services llc",6,0.000250595163513344
"in the midst of the","in the midst of the",6,0.000250595163513344
"is a member of the","is a member of the",6,0.000250595163513344
"is a participant in the","is a participant in the",6,0.000250595163513344
"is an important part of","is an important part of",6,0.000250595163513344
"is and is subject to","is and is subject to",6,0.000250595163513344
"is coming to an end","is coming to an end",6,0.000250595163513344
"is no such thing as","is no such thing as",6,0.000250595163513344
"is provided as is and","is provided as is and",6,0.000250595163513344
"is subject to change or","is subject to change or",6,0.000250595163513344
"it would be nice to","it would be nice to",6,0.000250595163513344
"it would have to be","it would have to be",6,0.000250595163513344
"it would make my day","it would make my day",6,0.000250595163513344
"its been a while since","its been a while since",6,0.000250595163513344
"linking to amazoncom amazonca amazoncouk","linking to amazoncom amazonca amazoncouk",6,0.000250595163513344
